cu_id,cu_name,major_drainage,parkinson_cu,tautz_cu,phylogenetic_group,run_timing_full,run_timing
280,Upper Skeena Headwaters,Skeena,Skeena  Summer,Upper Skeena Headwaters,North Coast,Interior Summer,IS
281,Upper Sustut,Skeena,Skeena  Summer,Upper Sustut,North Coast,Interior Summer,
282,Upper Skeena,Skeena,Skeena  Summer,Upper Skeena,North Coast,Interior Summer,IS
283,Kispiox,Skeena,Skeena  Summer,Kispiox,North Coast,Interior Summer,IS
284,Babine,Skeena,Skeena  Summer,Babine,North Coast,Interior Summer,IS
285,Middle Skeena,Skeena,Skeena  Summer,Middle Skeena,North Coast,Interior Summer,IS
286,Suskwa,Skeena,Skeena  Summer,Suskwa,North Coast,Interior Summer,IS
287,Buckley,Skeena,Skeena  Summer,Buckley,North Coast,Interior Summer,IS
288,Skeena Coastal Summers,Skeena,Skeena Winter,Coastal Summers,North Coast,Winter,
289,Morice,Skeena,Skeena  Summer,Morice,North Coast,Interior Summer,IS
290,Skeena Coastal Winters,Skeena,Skeena Winter,Coastal Winters,North Coast,Winter,
480,Nass Summer,Nass,Nass  Summer,,North Coast,Interior Summer,IS
481,Nass Winter,Nass,Nass Winter,,North Coast,Winter,
680,North Coast Winter,North Coast,N. Coast Winter,,North Coast,Winter,
681,North Coast Summer,North Coast,N. Coast Summer,,North Coast,Summer,W CS
682,Central Coast Winter,Central Coast,Cent. Coast Winter,,South North Transition,Winter,
683,Transition Summer,Bella Coola Dean,Transition Summer,,South North Transition,Summer,W CS
780,Mid Fraser Summer,Mid Fraser,Mid Fraser  Summer,,Interior,Interior Summer,IS
781,Thompson Summer,Thompson,Thompson Summer,,Interior,Interior Summer,IS
782,Lower Fraser Winter,Lower Fraser,L. Fraser Winter,,South Coast,Winter,
783,Fraser Canyon Summer,Fraser Canyon,Fraser Canyon  Summer,,Coast Interior Transition,Interior Summer,W IS
784,Lower Fraser Summer,Lower Fraser,L. Fraser Summer,,South Coast,Summer,W CS
785,Boundary Bay Winter,Boundary Bay,Boundary Bay Winter,,South Coast,Winter,
880,Queen Charlotte Island Winter,Queen Charlotte Islands,Queen Charlotte Is. Winter,,North Coast,Winter,
980,South Coast Winter,South Coast ,S. Coast  Winter,,South Coast,Winter,
981,East Vancouver Island Winter,East Vancouver Island,E. Vancouver Is. Winter,,South Coast,Winter,
982,West Vancouver Island Winter,West Vancouver Island,W. Vancouver Is. Winter,,South Coast,Winter,
983,South Coast Summer,South Coast ,S. Coast  Summer,,South Coast,Summer,W CS
984,West Vancouver Island Summer,West Vancouver Island,W. Vancouver Is. Summer,,South Coast,Summer,W CS
985,East Vancouver Island Summer,East Vancouver Island,E. Vancouver Is. Summer,,South Coast,Summer,W CS
1080,Alsek Summer,Alsek,Alsek  Summer,,North Coast,Interior Summer,IS
1081,Taku Summer,Taku,Taku  Summer,,North Coast,Interior Summer,IS
1082,Taku Winter,Taku,Taku Winter,,North Coast,Winter,
1083,Stikine Summer,Stikine,Stikine  Summer,,North Coast,Interior Summer,IS
1084,Stikine Winter,Stikine,Stikine Winter,,North Coast,Winter,
1380,Mid Columbia Summer,Mid Columbia,Mid Columbia  Summer,,Interior,Interior Summer,
