Year,"First ST
Date",Total_Weir_Count,Average Length (mm) M,Average Length (mm) F,Repeat Spawners (%),Sex Ratio (F:1M),Gillnet Scarring (%) M,Gillnet Scarring (%) F,Gillnet Scarring (%) Combined,"Mean Water Temp (°C)
Aug1 - Sep30","Mean Water Level (m) Aug1 -
Sep30",notes,source ,link
1994,08-Aug,584,824,737,,1.55,NA,NA,2,NA,NA,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
1995,08-Aug,467,826,746,1.2,1.23,NA,NA,6,NA,NA,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
1996,17-Aug,466,829,739,1.3,1.58,NA,NA,14,NA,NA,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
1997,09-Aug,649,814,733,0.6,1.43,9.2,17.8,15.4,NA,NA,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
1998,03-Aug,1064,827,749,,1.73,13.4,13.8,13.7,NA,0.27,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
1999,18-Aug,731,848,756,2.5,1.64,6.1,9.9,8.5,NA,0.28,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2000,08-Aug,377,827,741,0.4,1.64,10.6,16.2,14.1,NA,0.3,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2001,15-Aug,756,864,771,2.5,1.63,10.1,14.5,12.8,NA,NA,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2002,09-Aug,812,NA,NA,1.9,1.27,3.6,8.4,6.3,NA,0.23,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2003,03-Aug,1115,780,730,1.2,1.39,8.3,14.2,11.8,NA,0.31,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2004,28-Jul,1042,818,745,,1.48,6,8.8,7.7,NA,0.34,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2005,31-Jul,268,859,741,19,2.01,3.3,5.5,4.8,8.81,0.32,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2006,09-Aug,133,NA,NA,NA,1.5,0.5,1.6,2.3,8.71,0.21,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2007,09-Aug,263,NA,NA,NA,1.39,2.7,4.6,3.8,8.81,0.16,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2008,08-Aug,193,NA,NA,NA,1.92,4.5,2.4,3.1,9.11,0.23,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2009,06-Aug,1162,NA,NA,NA,1.66,0.7,1.5,1.2,9.61,0.2,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2010,03-Aug,1050,793,746,1,1.48,0.9,2.6,1.9,8.91,0.12,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2011,13-Aug,1186,824,756,10.3,1.73,3.7,8,6.4,8.65,0.27,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2012,11-Aug,1073,801,728,5.3,1.65,2.7,2.4,2.5,9.29,0.15,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2013,03-Aug,988,816,752,9.2,1.96,0.5,0.5,1,10.1,0.1,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2014,03-Aug,895,773,724,6.4,1.69,6.3,4.8,5.4,9.31,0.11,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2015,06-Aug,943,804,743,8.2,2.13,0.2,1.3,1.5,8.38,0.3,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2016,08-Aug,1532,778,732,8.9,1.99,2.9,3.6,3.4,9.47,0.25,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2017,09-Aug,1005,820,751,5.95,1.98,0.4,1,1.4,9.56,0.19,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2018,01-Aug,299,806,745,8,2,0,0,0,8.6,0.13,,"Skeena Fisheries Branch. 2019. Skeena Fisheries Report SK 178 ""Upper Sustut Steelhead Enumeration 2018"". Province of BC ",https://www.env.gov.bc.ca/skeena/fish/sk_series_reports/sk178.pdf
2019,NA,670,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"Kenji Miyazaki, Province of BC, Skeena Fisheries, Pers. Comms. See: Skeena_2022_Miyazaki_UpperSustut_Email.pdf ",
2020,NA,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fence inoperable for 2 week period in late August, due to damages sustained in summer flood event","Kenji Miyazaki, Province of BC, Skeena Fisheries, Pers. Comms. See: Skeena_2022_Miyazaki_UpperSustut_Email.pdf ",
2021,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No interruptions in fence operation, flow conditions normal","Kenji Miyazaki, Province of BC, Skeena Fisheries, Pers. Comms. See: Skeena_2022_Miyazaki_UpperSustut_Email.pdf ",
2022,NA,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lowest flow conditions experienced at current fence site, resulting in possible impacts to migration and lower than average count ","Kenji Miyazaki, Province of BC, Skeena Fisheries, Pers. Comms. See: Skeena_2022_Miyazaki_UpperSustut_Email.pdf ",
