"","Year","N","adj.fpu","sd","se","ci","Tukey"
"1","1998",8,45,37.3,13.2,31.2,"a"
"2","1999",9,54,36.3,12.1,27.9,"a"
"3","2000",9,24,33.8,11.3,26.1,"a"
"4","2001",9,26,23.7,7.9,18.2,"a"
"5","2002",9,26,17,5.7,13.1,"a"
"6","2003",9,17,10,3.3,7.6,"a"
"7","2004",9,21,19.8,6.6,15.2,"a"
"8","2005",9,18,11,3.7,8.5,"a"
"9","2006",9,47,43.1,14.4,33.2,"a"
"10","2008",6,21,16.4,6.7,17.2,"a"
"11","2011",8,45,59.6,21.1,49.9,"a"
"12","2012",8,28,14.8,5.2,12.3,"a"
"13","2013",8,40,17.1,6,14.2,"a"
"14","2014",8,25,30.1,10.6,25.1,"a"
"15","2015",8,30,17.9,6.3,14.9,"a"
"16","2016",8,30,13.9,4.9,11.6,"a"
"17","2017",8,26,14.8,5.2,12.3,"a"
"18","2018",7,25,13.1,5,12.2,"a"
"19","2019",7,17,17,6.4,15.7,"a"
"20","2020",8,30,19.9,7,16.6,"a"
